id,question,qwen25_72b_instruct,gpt_4o_mini_cot,ministral_8b_instruct_2410,deepseek_chat,glm_4_plus,llama31_8b_instruct,qwen25_32b_int4,gpt_4o,glm_4_air,gpt_4o_mini,qwen25_math_7b_instruct,llama31_70b_instruct,mistral_7b_instruct_v02,mixtral_8x7b_instruct,glm_4_flash,qwq_32b_preview,gemini15_flash,deepseek_coder,qwen25_7b_instruct,llama31_405b_instruct
0,"关于：jurisprudence
问题：法律的强制实施都是通过法定时间与法定空间上的步骤和方式而得以进行的，此即所谓
选项：
A. 法的程序性
B. 法的利导性
C. 法的国家性
D. 法的意志性
",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
1,"关于：sports_science
问题：为了帮助学生掌握较难动作而采取的技术结构与所学身体练习相似的简单技术动作的练习是
选项：
A. 专门性练习
B. 一般性练习
C. 辅助性练习
D. 综合性练习
",0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
2,"关于：elementary_chinese
问题：下列哪个成语典故说的是吕不讳的故事
选项：
A. 一掷千金
B. 一字千金
C. 一饭千金
D. 一诺千金
",1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
3,"关于：sports_science
问题：在竞技活动中，运动员的体能水平集中表现于三个方面，下列哪一项不是的？
选项：
A. 身体形态
B. 技术
C. 身体机能
D. 运动素质
",1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
4,"关于：sports_science
问题：化学性疼痛不具备以下哪项表现形式？
选项：
A. 持续痛
B. 夜间痛
C. 间歇疼痛
D. 休息痛
",0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
5,"关于：professional_medicine
问题：砂粒样细胞核主要见于的病毒性肝炎是
选项：
A. 丙型肝炎
B. 戊型肝炎
C. 乙型肝炎
D. 甲型肝炎
",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
6,"关于：elementary_chinese
问题：括号中词语在句中含贬义色彩的是
选项：
A. 在乌云和大海之间，海燕像黑色的闪电，在(高傲)地飞翔。
B. 对同志对人民不是(满腔热情)，而是冷冷清清，漠不关心，麻木不仁。
C. 也有解散辫子，盘得平的，除下帽来，(油光可鉴)，宛如小姑娘的发髻一般，还要将脖子扭几扭。实在标致极了。
D. 我喜欢海，(溺爱)着海，尤其是潮来的时候。
",1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
7,"关于：logical
问题：有时不清楚一个语篇到底是论证还是解释，我们称之为
选项：
A. 解释论证
B. 两可情形
C. 识别论证
D. 论证解释
",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
8,"关于：elementary_commonsense
问题：使用人工点火的燃气灶具，在点火时要坚持的原则是
选项：
A. “火等气”
B. 先放气
C. 气火同时
D. 气等火”
",1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
9,"关于：computer_security
问题：在国家信息化体系六要素中，进行信息化建设的基础是
选项：
A. 信息人才
B. 信息资源的开发和利用
C. 信息技术和产业
D. 信息化政策法规和规范标准
",0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
